Anzahl,Zeit,Knoten_pro_Sekunde
100000,0.130,769230
200000,0.262,763358
300000,0.375,800000
400000,0.531,753295
500000,0.629,794912
600000,0.756,793650
700000,0.901,776914
800000,1.041,768491
900000,1.155,779220
1000000,1.273,785545
1100000,1.400,785714
1200000,1.495,802675
1300000,1.607,808960
1400000,1.844,759219
1500000,1.989,754147
1600000,2.081,768861
1700000,2.182,779101
1800000,2.328,773195
1900000,2.426,783182
2000000,2.547,785237
2100000,2.631,798175
2200000,2.790,788530
2300000,2.928,785519
2400000,3.017,795492
2500000,3.179,786410
2600000,3.257,798280
2700000,3.386,797401
2800000,3.722,752283
2900000,3.867,749935
3000000,4.012,747756
3100000,4.060,763546
3200000,4.165,768307
3300000,4.348,758969
3400000,4.435,766629
3500000,4.555,768386
3600000,4.679,769395
3700000,4.805,770031
3800000,4.935,770010
3900000,5.020,776892
4000000,5.171,773544
4100000,5.324,770097
4200000,5.358,783874
4300000,5.487,783670
4400000,5.583,788106
4500000,5.706,788643
4600000,5.847,786728
4700000,5.977,786347
4800000,6.119,784441
4900000,6.191,791471
5000000,6.330,789889
5100000,6.373,800251
5200000,6.579,790393
5300000,6.692,791990
5400000,6.782,796225
5500000,6.972,788869
5600000,7.473,749364
5700000,7.613,748719
5800000,7.672,755995
5900000,7.858,750827
6000000,7.970,752823
6100000,8.102,752900
6200000,8.227,753616
6300000,8.317,757484
6400000,8.421,760004
6500000,8.552,760056
6600000,8.664,761772
6700000,8.710,769230
6800000,8.897,764302
6900000,8.987,767775
7000000,9.105,768808
7100000,9.145,776380
7200000,9.301,774110
7300000,9.485,769636
7400000,9.647,767077
7500000,9.749,769309
7600000,9.825,773536
7700000,9.878,779510
7800000,10.094,772736
7900000,10.219,773069
8000000,10.312,775795
8100000,10.414,777799
8200000,10.517,779690
8300000,10.628,780955
8400000,10.655,788362
8500000,10.890,780532
8600000,11.088,775613
8700000,11.083,784986
8800000,11.487,766083
8900000,11.412,779880
9000000,11.419,788160
9100000,11.564,786924
9200000,11.726,784581
9300000,11.874,783223
9400000,11.978,784772
9500000,12.099,785188
9600000,12.139,790839
9700000,12.354,785170
9800000,12.360,792880
9900000,12.468,794032
10000000,12.692,787897
10100000,12.672,797032
10200000,12.971,786369
10300000,13.044,789635
10400000,13.153,790694
10500000,13.408,783114
10600000,13.416,790101
10700000,13.536,790484
10800000,13.806,782268
10900000,13.762,792036
11000000,13.921,790173
11100000,14.037,790767
11200000,18.693,599154
11300000,15.806,714918
11400000,15.290,745585
11500000,15.576,738315
11600000,15.404,753051
11700000,15.707,744890
11800000,16.147,730785
11900000,15.825,751974
12000000,16.149,743080
12100000,16.370,739156
12200000,16.217,752296
12300000,16.331,753168
12400000,16.668,743940
12500000,16.627,751789
12600000,16.600,759036
12700000,17.006,746795
12800000,17.639,725664
12900000,18.870,683624
13000000,18.486,703234
13100000,20.406,641968
13200000,19.084,691678
13300000,22.048,603229
13400000,20.283,660651
13500000,23.959,563462
13600000,21.662,627827
13700000,25.092,545990
13800000,22.310,618556
13900000,25.282,549798
14000000,25.778,543098
14100000,24.667,571613
14200000,25.876,548771
14300000,26.092,548060
14400000,25.354,567957
14500000,27.064,535767
14600000,25.388,575074
14700000,25.255,582062
14800000,25.361,583573
14900000,25.881,575711
15000000,25.541,587291
15100000,25.998,580813
15200000,26.611,571192
15300000,26.508,577184
15400000,26.822,574155
15500000,26.917,575844
15600000,27.328,570843
15700000,27.198,577248
15800000,28.337,557574
15900000,28.220,563430
16000000,27.729,577013
16100000,27.778,579595
16200000,30.045,539191
16300000,28.213,577747
16400000,28.699,571448
16500000,28.417,580638
16600000,28.547,581497
16700000,28.408,587862
16800000,28.900,581314
16900000,30.060,562208
17000000,28.985,586510
17100000,30.134,567465
17200000,29.025,592592
17300000,29.694,582609
17400000,29.075,598452
17500000,29.530,592617
17600000,29.489,596832
17700000,29.782,594318
17800000,29.905,595218
17900000,30.002,596626
18000000,29.903,601946
18100000,30.833,587033
18200000,30.154,603568
18300000,30.418,601617
